asin,product_name,seller_name,brand,sales_price,discount_percentage,weight_grams,rating,delivery_type,meta_keywords,amazon_prime__y_or_n,rank,z-score
B07VDLV5NM,ANVIKA Love Cat Heart Design Soft Silicon Special's Girls Back Cover for Redmi Note 4 - (Pink),ANVIKA FASHION,ANVIKA,3.47,59,299.0,3.5,fulfilled_by_merchant,"ANVIKA Love Cat Heart Design Soft Silicon Special's Girls Back Cover for Redmi Note 4 - (Pink),ANVIKA,Redmi Note 4",Y,461439,-0.3947770340665246
B081CYVC5X,Luxocase for Redmi Mi A2 Back Case Cover Hard Slim Shock Proof for Xiaomi Redmi Mi A2,Luxocase,LUXOCASE,3.47,78,4.54,3.9,fulfilled_by_merchant,"Luxocase for Redmi Mi A2 Back Case Cover Hard Slim Shock Proof for Xiaomi Redmi Mi A2,LUXOCASE,Redmi Mi A2",Y,282056,-0.3947770340665246
B07FRL4HV9,TheGiftKart Full Body 3 in 1 Slim Fit Complete 3D 360 Degree Protection Hybrid Hard Bumper Back Case Cover for Oppo A3s (All Blue),TheGiftKart,TheGiftKart,5.99,55,18.1,4.0,fulfilled_by_merchant,"TheGiftKart Full Body 3 in 1 Slim Fit Complete 3D 360 Degree Protection Hybrid Hard Bumper Back Case Cover for Oppo A3s (All Blue),TheGiftKart,Oppo A3s",N,205913,-0.23532933449339635
B082GH97YB,Nainika Cute Girlish Soft Silicone Meow Cat Ear Cartoon Back Cover for Xiaomi Redmi Note 8 (Black),Nainika Fashion,Nainika,2.87,73,49.9,3.0,fulfilled_by_merchant,"Nainika Cute Girlish Soft Silicone Meow Cat Ear Cartoon Back Cover for Xiaomi Redmi Note 8 (Black),Nainika,Xiaomi Redmi Note 8",Y,249518,-0.4327407720601266
B07R716QFW,Nainz ''Flowers and Bird'' Printed Soft Silicone Transparent Back Cover Case for Realme C2/ Designer Back Cover for Realme C2,Nainz.,Nainz,2.15,70,150.0,4.1,fulfilled_by_merchant,"Nainz ''Flowers and Bird'' Printed Soft Silicone Transparent Back Cover Case for Realme C2/ Designer Back Cover for Realme C2,Nainz",Y,1027450,-0.47829725765244896
B07XGN3P1T,A rtistque Luxurious Marble Pattern Bling Shell Back Glass Case Cover with Soft TPU Bumper and Hybrid Technology for Vivo Y17 - Red,VM Ventures,A rtistque,4.79,60,99.8,4.1,fulfilled_by_merchant,"A rtistque Luxurious Marble Pattern Bling Shell Back Glass Case Cover with Soft TPU Bumper and Hybrid Technology for Vivo Y17 - Red,A rtistque,Art-marblered-vivy17",Y,1202100,-0.31125681048060033
B081LFYZ35,TheGiftKart Luxurious Toughened Glass Back Case with Shockproof TPU Bumper Back Case Cover for Realme X2 Pro (Black) [ Launch Offer ],TheGiftKart,TheGiftKart,3.59,73,18.1,4.1,fulfilled_by_amazon,"TheGiftKart Luxurious Toughened Glass Back Case with Shockproof TPU Bumper Back Case Cover for Realme X2 Pro (Black) [ Launch Offer ],TheGiftKart,Realme X2 Pro",Y,33793,-0.3871842864678043
B01M65NJC0,Sony CP-AD2M2 97713147 USB 3.0A Fast Charging 2 Port Adapter (White),best_buyaxz,Sony,11.86,1,63.5,3.9,fulfilled_by_amazon,"Sony CP-AD2M2 97713147 USB 3.0A Fast Charging 2 Port Adapter (White),Sony,97713147",Y,8776,0.13608256887734285
B07HTCM1LF,Arbuda Fancy Printed Designer Leather Flip Wallet Back Cover Case for Huawei Honor 9 Lite,SHARP ZONE,ARBUDA,5.4,44,200.0,4.0,fulfilled_by_amazon,"Arbuda Fancy Printed Designer Leather Flip Wallet Back Cover Case for Huawei Honor 9 Lite,Arbuda,Huawei Honor 9 Lite",Y,1027684,-0.2726603435204383
B003E25DSA,"Clearmax High Capacity Battery for Canon EOS 1000D, EOS 450D and EOS 500D Digital SLR Cameras",Cart2India Online,Kastar,23.87,20,27.2,5.0,fulfilled_by_merchant,"Clearmax High Capacity Battery for Canon EOS 1000D, EOS 450D and EOS 500D Digital SLR Cameras,Kastar,AMZLPE51P",N,1004787,0.8959900577159424
B019RIODH6,Neon High Speed HDMI 3meter Cable 1.4V (Black & Red),NEON EXIM,neon,3.59,40,204.0,3.8,fulfilled_by_merchant,"Neon High Speed HDMI 3meter Cable 1.4V (Black & Red),Neon,HC3MN54",N,160466,-0.3871842864678043
B06VT1QNYP,"8 PC Close Up Set : 55mm and 58mm Close-Up Filter Set (+1, +2, +4 and +10 Diopters) Magnification Kit for Nikon D5600, D3400 DSLR Camera with Nikon 18-55mm f/3.5-5.6G VR AF-P DX and Nikon 70-300mm f/4.5-6.3G ED",Cart2India Online,Big Mike's,56.27,20,308.0,4.8,fulfilled_by_merchant,"8 PC Close Up Set : 55mm and 58mm Close-Up Filter Set (+1, +2, +4 and +10 Diopters) Magnification Kit for Nikon D5600, D3400 DSLR Camera with Nikon 18-55mm f/3.5-5.6G VR AF-P DX and Nikon 70-300mm f/4.5-6.3G ED,Big Mike's,CU55 CU58",N,1025149,2.9460319093704492
B01D90I31A,Cazcase PU Leather Translucent Back Flip Smart Case Cover for Apple Ipad Air 2 (Gold),E Shop Solution,CAZCASE,8.39,46,191.0,3.6,fulfilled_by_amazon,"Cazcase PU Leather Translucent Back Flip Smart Case Cover for Apple Ipad Air 2 (Gold),E Shop solution",Y,21913,-0.08347438251898846
B018GAI9GM,FOSO F58 Back Cover for iPhone 6 Plus (Black),DataPower,Foso,5.99,64,90.7,3.6,fulfilled_by_amazon,"FOSO F58 Back Cover for iPhone 6 Plus (Black),FOSO,F58",Y,101067,-0.23532933449339635
B07CT22SFB,Furious [Slimfit] [Durable] Hard Plastic 3D Printed Back Cover for Samsung Galaxy J7 Prime/On7 Prime/On Nxt/J7 Prime 2 (All Model Compatible),ZaidStyle,Furious,3.59,67,49.9,3.9,fulfilled_by_merchant,"Furious [Slimfit] [Durable] Hard Plastic 3D Printed Back Cover for Samsung Galaxy J7 Prime/On7 Prime/On Nxt/J7 Prime 2 (All Model Compatible),ZaidStyle",Y,947842,-0.3871842864678043
B079VK2T27,Heartly Kick Stand Rugged Shockproof Tough Hybrid Armor Dual Layer Bumper Back Case Cover for Sony Xperia XA1 Plus - Hot Red,Ruh International,Heartly,5.99,62,49.9,3.8,fulfilled_by_amazon,"Heartly Kick Stand Rugged Shockproof Tough Hybrid Armor Dual Layer Bumper Back Case Cover for Sony Xperia XA1 Plus - Hot Red,Heartly,For Sony Xperia XA1 Plus_TS",Y,481741,-0.23532933449339635
B01MZB41X2,"SCHOFIC Fancy Wallet Diary Faux Leather Mobile Flip Case Cover [Pouch] with Card Slots [Pockets], Stand View and Magnetic Strap [Locking] for Huawei Honor 7A",Schofic,SCHOFIC,2.7,86,68.0,3.5,fulfilled_by_merchant,"SCHOFIC Fancy Wallet Diary Faux Leather Mobile Flip Case Cover [Pouch] with Card Slots [Pockets], Stand View and Magnetic Strap [Locking] for Huawei Honor 7A,SCHOFIC,Micromax Canvas Nitro A310 /A311",N,686708,-0.44349716449164717
B00Z7TCISG,OtterBox Defender Series 77-54515 Screenless Edition Smartphone Case for Samsung Galaxy S8 (Black),Expo Associates,OtterBox,53.77,0,118.0,3.9,fulfilled_by_merchant,"OtterBox Defender Series 77-54515 Screenless Edition Smartphone Case for Samsung Galaxy S8 (Black),OtterBox,77-54515",N,806942,2.7878496677304407
B07Y8F1TDX,Navnika Samsung Galaxy Note 8 Marble Glitter Silicone Frame Shell Glass Back Case (Blue),NAVNIKA FASHION,Navnika,5.39,55,200.0,2.9,fulfilled_by_merchant,"Navnika Samsung Galaxy Note 8 Marble Glitter Silicone Frame Shell Glass Back Case (Blue),Navnika,Samsung Galaxy Note 8",Y,428234,-0.27329307248699836
B07XQHBRMN,Nainz Ball Designer Printed Slim Drop Tested Shockproof TPU for Infinix Hot 8 Mobile Back Cover,Nainz.,Nainz,2.15,70,150.0,3.8,fulfilled_by_merchant,"Nainz Ball Designer Printed Slim Drop Tested Shockproof TPU for Infinix Hot 8 Mobile Back Cover,Nainz",Y,3304553,-0.47829725765244896
